state,city,abbr,city_id,white,black,hispanic,asian,american_indian,alaskan_native,native_hawaiian,city_k12,city_teacher,state_k12,state_teacher
Alabama,Birmingham,AL,1,1,1,0,0,0,1,1,0.90332216,0.979709029,0.893956482,0.974775612
Alabama,Birmingham,AL,1,1,1,0,0,1,0,0,0.904677451,0.979709029,0.897825837,0.976856291
Alabama,Birmingham,AL,1,1,1,0,0,1,0,1,0.904718816,0.979709029,0.898109436,0.977430582
Alabama,Birmingham,AL,1,1,1,0,0,1,1,0,0.904677451,0.979709029,0.897825837,0.976856291
Alabama,Birmingham,AL,1,1,1,0,0,1,1,1,0.904718816,0.979709029,0.898109436,0.977430582
Alabama,Birmingham,AL,1,1,1,0,1,0,0,0,0.919625044,0.986465037,0.90548414,0.979200602
Alabama,Birmingham,AL,1,1,1,0,1,0,0,1,0.919666409,0.986465037,0.905767739,0.979774892
Alabama,Birmingham,AL,1,1,1,0,1,0,1,0,0.919625044,0.986465037,0.90548414,0.979200602
Alabama,Birmingham,AL,1,1,1,0,1,0,1,1,0.919666409,0.986465037,0.905767739,0.979774892
Alabama,Birmingham,AL,1,1,1,0,1,1,0,0,0.9210217,0.986465037,0.909637094,0.981855571
Alabama,Birmingham,AL,1,1,1,0,1,1,0,1,0.921063066,0.986465037,0.909920692,0.982429862
Alabama,Birmingham,AL,1,1,1,0,1,1,1,0,0.9210217,0.986465037,0.909637094,0.981855571
Alabama,Birmingham,AL,1,1,1,0,1,1,1,1,0.921063066,0.986465037,0.909920692,0.982429862
Alabama,Birmingham,AL,1,1,1,1,0,0,0,0,0.959156692,0.983087003,0.953615248,0.983609855
Alabama,Birmingham,AL,1,1,1,1,0,0,0,1,0.959198058,0.983087003,0.953898847,0.984184146
Alabama,Birmingham,AL,1,1,1,1,0,0,1,0,0.959156692,0.983087003,0.953615248,0.983609855
Alabama,Birmingham,AL,1,1,1,1,0,0,1,1,0.959198058,0.983087003,0.953898847,0.984184146
Alabama,Birmingham,AL,1,1,1,1,0,1,0,0,0.960553348,0.983087003,0.957768202,0.986264825
Alabama,Birmingham,AL,1,1,1,1,0,1,0,1,0.960594714,0.983087003,0.958051801,0.986839116
Alabama,Birmingham,AL,1,1,1,1,0,1,1,0,0.960553348,0.983087003,0.957768202,0.986264825
Alabama,Birmingham,AL,1,1,1,1,0,1,1,1,0.960594714,0.983087003,0.958051801,0.986839116
Alabama,Birmingham,AL,1,1,1,1,1,0,0,0,0.975500941,0.989843011,0.965426505,0.988609135
Alabama,Birmingham,AL,1,1,1,1,1,0,0,1,0.975542307,0.989843011,0.965710104,0.989183426
Alabama,Birmingham,AL,1,1,1,1,1,0,1,0,0.975500941,0.989843011,0.965426505,0.988609135
Alabama,Birmingham,AL,1,1,1,1,1,0,1,1,0.975542307,0.989843011,0.965710104,0.989183426
Alabama,Birmingham,AL,1,1,1,1,1,1,0,0,0.976897597,0.989843011,0.969579458,0.991264105
Alabama,Birmingham,AL,1,1,1,1,1,1,0,1,0.976938963,0.989843011,0.969863057,0.991838396
Alabama,Birmingham,AL,1,1,1,1,1,1,1,0,0.976897597,0.989843011,0.969579458,0.991264105
Alabama,Birmingham,AL,1,1,1,1,1,1,1,1,0.976938963,0.989843011,0.969863057,0.991838396
Alaska,,AK,1,0,0,0,0,0,0,0,,,0,0
Alaska,,AK,1,0,0,0,0,0,0,1,,,0.016096359,0
Alaska,,AK,1,0,0,0,0,0,1,0,,,0.159013152,0.028622275
Alaska,,AK,1,0,0,0,0,0,1,1,,,0.175109506,0.028622275
Alaska,,AK,1,0,0,0,0,1,0,0,,,0.021257427,0.006864261
Alaska,,AK,1,0,0,0,0,1,0,1,,,0.037353784,0.006864261
Alaska,,AK,1,0,0,0,0,1,1,0,,,0.180270582,0.035486538
Alaska,,AK,1,0,0,0,0,1,1,1,,,0.196366936,0.035486538
Alaska,,AK,1,0,0,0,1,0,0,0,,,0.061246291,0.009279464
Alaska,,AK,1,0,0,0,1,0,0,1,,,0.077342652,0.009279464
Alaska,,AK,1,0,0,0,1,0,1,0,,,0.220259443,0.037901741
Alaska,,AK,1,0,0,0,1,0,1,1,,,0.236355796,0.037901741
Alaska,,AK,1,0,0,0,1,1,0,0,,,0.082503721,0.016143726
Alaska,,AK,1,0,0,0,1,1,0,1,,,0.098600082,0.016143726
Alaska,,AK,1,0,0,0,1,1,1,0,,,0.241516873,0.044766001
Alaska,,AK,1,0,0,0,1,1,1,1,,,0.257613242,0.044766001
Alaska,,AK,1,0,0,1,0,0,0,0,,,0.090980731,0.066651128
Alaska,,AK,1,0,0,1,0,0,0,1,,,0.107077092,0.066651128
Alaska,,AK,1,0,0,1,0,0,1,0,,,0.249993891,0.095273405
Alaska,,AK,1,0,0,1,0,0,1,1,,,0.266090244,0.095273405
Alaska,,AK,1,0,0,1,0,1,0,0,,,0.112238154,0.073515393
Alaska,,AK,1,0,0,1,0,1,0,1,,,0.128334507,0.073515393
Alaska,,AK,1,0,0,1,0,1,1,0,,,0.271251321,0.10213767
Alaska,,AK,1,0,0,1,0,1,1,1,,,0.287347674,0.10213767
Alaska,,AK,1,0,0,1,1,0,0,0,,,0.152227014,0.075930595
Alaska,,AK,1,0,0,1,1,0,0,1,,,0.168323368,0.075930595
Alaska,,AK,1,0,0,1,1,0,1,0,,,0.311240166,0.104552872
Alaska,,AK,1,0,0,1,1,0,1,1,,,0.32733652,0.104552872
Alaska,,AK,1,0,0,1,1,1,0,0,,,0.173484445,0.08279486
Alaska,,AK,1,0,0,1,1,1,0,1,,,0.189580798,0.08279486
Alaska,,AK,1,0,0,1,1,1,1,0,,,0.332497597,0.111417137
Alaska,,AK,1,0,0,1,1,1,1,1,,,0.34859395,0.111417137
Alaska,,AK,1,0,1,0,0,0,0,0,,,0.029777702,0.025656236
Alaska,,AK,1,0,1,0,0,0,0,1,,,0.045874059,0.025656236
Alaska,,AK,1,0,1,0,0,0,1,0,,,0.188790858,0.054278512
